state,x,y
Andhra Pradesh,-120,-150
Arunachal Pradesh,243,150
Assam,198,105
Bihar,49,85
Chhattisgarh,-55,-24
Delhi,-156,159
Goa,-233,-185
Gujrat,-279,16
Haryana,-187,177
Himachal Pradesh,-167,249
Jammu And Kashmir,-196,306
Jharkhand,22,40
Karnataka,-195,-231
Kerala,-182,-310
Madhya Pradesh,-163,15
Maharastra,-195,-83
Manipur,242,54
Meghalaya,173,77
Mizoram,219,3
Nagaland,267,94
Odissa,24,-60
Punjab,-219,215
Rajasthan,-260,112
Sikim,114,134
Tamil Nadu,-134,-290
Tripura,184,28
Uttar Pradesh,-106,121
Uttarakhand,-123,203
West Bengal,100,17
